solaar 1.1.13-1///pacman
steam 1.0.0.81-2///pacman
steam-native-runtime 1.0.0.75-4///pacman
strace 6.12-1///pacman
sublime-text 4189-1///pacman
sudo 1.9.16.p2-1///pacman
swappy 1.5.1-2///pacman
sysfsutils 2.1.1-2///pacman
system-config-printer 1.5.18-4///pacman
systemd-sysvcompat 257-1///pacman
tailscale 1.78.1-1///pacman
task 3.2.0-2///pacman
telegram-desktop 5.9.0-1///pacman
texinfo 7.1.1-1///pacman
thefuck 3.32-10///pacman
thunar 4.18.11-3///pacman
thunar-archive-plugin 0.5.2-3///pacman
tk 8.6.15-1///pacman
tldr 3.3.0-1///pacman
torbrowser-launcher 0.3.7-2///pacman
transmission-gtk 4.0.6-2///pacman
trash-cli 0.24.5.26-1///pacman
ttf-bitstream-vera 1.10-16///pacman
ttf-dejavu 2.37+18+g9b5d1b2f-7///pacman
ttf-jetbrains-mono-nerd 3.3.0-1///pacman
ttf-liberation 2.1.5-2///pacman
ttf-opensans 1.101-4///pacman
tumbler 4.18.2-3///pacman
unrar 1:7.1.2-1///pacman
unzip 6.0-21///pacman
upower 1.90.6-1///pacman
usb_modeswitch 2.6.1-4///pacman
usbutils 018-1///pacman
vi 1:070224-6///pacman
vlc 3.0.21-9///pacman
waybar 0.11.0-4///pacman
welcome 24.12.6-1///pacman
wev 1.0.0-13///pacman
wf-recorder 0.5.0-2///pacman
wget 1.25.0-1///pacman
which 2.21-6///pacman
wireguard-tools 1.0.20210914-2///pacman
wireplumber 0.5.7-1///pacman
wl-clipboard 1:2.2.1-2///pacman
wpa_supplicant 2:2.11-2///pacman
wtype 0.4-2///pacman
xdg-desktop-portal-wlr 0.7.1-1///pacman
xdg-user-dirs 0.18-2///pacman
xdg-utils 1.2.1-1///pacman
xf86-input-libinput 1.5.0-1///pacman
xfsprogs 6.12.0-1///pacman
xl2tpd 1.3.18-2///pacman
xorg-server 21.1.15-1///pacman
xorg-xdpyinfo 1.3.4-2///pacman
xorg-xinit 1.4.2-2///pacman
xorg-xinput 1.6.4-2///pacman
xorg-xkill 1.0.6-2///pacman
xorg-xrandr 1.5.3-1///pacman
xterm 396-2///pacman
yay 12.4.2-1///pacman
zathura 0.5.8-1///pacman
zathura-pdf-mupdf 0.4.4-6///pacman
zip 3.0-11///pacman
zsh 5.9-5///pacman
alacritty-git 1:0.15.0.2390.gdef2d488-1///yay
aquamarine-git 0.5.1_r244.g5e3f601-1///yay
arkenfox-user.js 128.0-1///yay
asdf-vm 0.14.1-1///yay
brave-bin 1:1.73.104-1///yay
brother-dcp-l2530dw 4.0.0-1///yay
buku 4.9-2///yay
bukubrow-bin 5.4.0-1///yay
code-insiders-bin 1.95.0_1728049707-1///yay
colloid-catppuccin-gtk-theme-git 2024.11.16.r0.gb9f3d52-1///yay
cursor-bin 0.44.7-1///yay
espanso-wayland-git 2.2.2.r4.g78c1be64-1///yay
greetd-tuigreet-git 0.9.1.r19.g2aeca1b-1///yay
hunspell-sv 1:2.42-2///yay
hypnotix 4.8-1///yay
hypridle-git 0.1.5.r2.g413564cb-1///yay
hyprkeys 1.0.3-1///yay
hyprland-git 0.46.0.r22.31422ae2-1///yay
hyprlock-git 0.6.0.r4.gf2c153c0-1///yay
hyprpaper-git 0.7.3.r1.gf15e678-1///yay
insync-thunar 3.7.9.50368-1///yay
jellyfin-media-player-git r1818.a3909e7-1///yay
mqtt-explorer 0.3.5-13///yay
mullvad-browser-bin 14.0.3-2///yay
mullvad-vpn 2024.7-1///yay
otf-futura-renner 1-2///yay
pyprland-git r1408.0b64057-1///yay
rofi-lbonn-wayland-git 1.7.5.wayland3.r52.g0abd8878-1///yay
slack-desktop 4.41.105-1///yay
speedtest++ 1.15.r72.b743996-1///yay
spotify 1:1.2.52.442-1///yay
ticktick 6.0.20-1///yay
ulauncher-git DEV-4///yay
urban-cli-bin 0.2.3-2///yay
vaults 0.7.1-1///yay
wdisplays 1.1.1-1///yay
xdg-desktop-portal-hyprland-git 1.3.9.r0.gfa50ab34-1///yay
yt-dlp-git 2024.12.13.r5.gd298693-1///yay
zellij-git 0.41.2.r19.g1923bac-1///yay
cambridge 3.13.9///pipx
homeassistant-cli 0.9.6///pipx
notesh 0.8.0///pipx
shell-gpt 1.4.0///pipx
svt-text 0.2.1///pipx
